id,name,category,platform,tps,secondary_tps,ttft_ms,size_mb,requests,gate,wall_seconds,source,note
L1,Qwen3.5-4B,LLM 단독,apple-silicon-local,31.494857374327037,,78.136,2740.9,20,incomplete,,benchmarks/results/qwen35-4b-apple-v2.json,
L2,A.X 4.0 Light,LLM 단독,apple-silicon-local,22.244538849855385,,166.934,2326.1,20,incomplete,,benchmarks/results/ax-light-7b-apple.json,
L3,Qwen3-8B,LLM 단독,apple-silicon-local,23.148623788306097,,44.932,5027.8,20,incomplete,,benchmarks/results/qwen3-8b-apple.json,
L4,Kanana 1.5 8B,LLM 단독,apple-silicon-local,25.018490227934084,,40.588,3179.2,20,incomplete,,benchmarks/results/kanana-15-8b-apple.json,
L5,EXAONE 3.5 7.8B,LLM 단독,apple-silicon-local,25.632203511809053,,41.587,3053.9,20,incomplete,,benchmarks/results/exaone-35-78b-apple.json,
L6,Ternary Bonsai 8B,LLM 단독,apple-silicon-local,30.75587365102656,,34.391,2182.2,20,incomplete,,benchmarks/results/ternary-bonsai-8b-apple.json,
L7,Ternary Bonsai 4B,LLM 단독,apple-silicon-local,50.6697110718069,,20.582,1075.0,20,incomplete,,benchmarks/results/ternary-bonsai-4b-apple.json,
L8,EXAONE Deep 7.8B,LLM 단독,apple-silicon-local,25.832527188062144,,40.191,3053.9,20,incomplete,,benchmarks/results/exaone-deep-78b-apple.json,
S1,Qwen3.5-4B,통합 VLM,apple-silicon-local,32.0,,,3413.4,1,incomplete,,benchmarks/results/qwen35-4b-vlm-smoke.json,
S2,A.X 4.0 VL Light,통합 VLM,apple-silicon-local,0.0463,,,14666.9629,2,incomplete,,benchmarks/results/S2-ax-vl-light-transformers.json,
S3,Qwen3-VL-8B,통합 VLM,apple-silicon-local,24.9,,,6186.8,1,incomplete,,benchmarks/results/qwen3-vl-8b-vlm-smoke.json,
S4,Gemma 4 E4B,통합 VLM,apple-silicon-local,31.1,,,5704.4,1,incomplete,,benchmarks/results/gemma4-e4b-vlm-smoke.json,
P1,A.X Light + Qwen3-VL-4B,분리형 P 조합,apple-silicon-local,23.8,40.4,,5659.6,1,incomplete,0,benchmarks/results/P1-ax-qwen3vl-apple.json,
P2,A.X Light + A.X VL Light,분리형 P 조합,apple-silicon-local,24.2,0.0463,,17705.6,1,incomplete,177.2717,benchmarks/results/P2-ax-axvl-apple.json,
P3,Qwen3-8B + Qwen3-VL-4B,분리형 P 조합,apple-silicon-local,21.8,40.4,,8361.3,1,incomplete,0,benchmarks/results/P3-qwen3-qwen3vl-apple.json,
P4,Kanana + Qwen3-VL-4B,분리형 P 조합,apple-silicon-local,25.4,40.4,,6512.7,1,incomplete,0,benchmarks/results/P4-kanana-qwen3vl-apple.json,
P5,EXAONE 3.5 + Qwen3-VL-4B,분리형 P 조합,apple-silicon-local,27.1,40.4,,6387.4,1,incomplete,0,benchmarks/results/P5-exaone35-qwen3vl-apple.json,
P6,Ternary 8B + Qwen3-VL-4B,분리형 P 조합,apple-silicon-local,29.1,40.4,,5515.7,1,incomplete,0,benchmarks/results/P6-ternary-qwen3vl-apple.json,
P7,Ternary 4B + Qwen3-VL-4B,분리형 P 조합,apple-silicon-local,50.9,40.4,,4408.5,1,incomplete,0,benchmarks/results/P7-ternary4b-qwen3vl-apple.json,
P8,Qwen3-8B + A.X VL Light,분리형 P 조합,apple-silicon-local,10.5726,0.0463,,20407.2,1,incomplete,176.10250000000002,benchmarks/results/P8-qwen3-axvl-apple.json,
X1,A.X Light → EXAONE Deep,특화 전환 X 조합,apple-silicon-local,27.6,23.8,,5380.0,2,incomplete,17.105,benchmarks/results/X1-ax-exaone-deep-apple.json,
X2,Kanana → EXAONE Deep,특화 전환 X 조합,apple-silicon-local,27.6,27.1,,6233.0,2,incomplete,16.723,benchmarks/results/X2-kanana-exaone-deep-apple.json,
X3,Ternary 8B → EXAONE Deep,특화 전환 X 조합,apple-silicon-local,25.9,23.1,,5236.1,2,incomplete,33.041000000000004,benchmarks/results/X3-ternary-exaone-deep-apple.json,
Android-Q35,Qwen3.5-4B,Android 에뮬레이터,android-emulator-api35,5.5,,,1520.2,1,incomplete,,benchmarks/results/qwen35-4b-android-emulator.json,CLI smoke
Android-T8,Ternary Bonsai 8B,Android 에뮬레이터,android-emulator-api35,0.2,,,2182.2,1,incomplete,,benchmarks/results/ternary-bonsai-8b-android-emulator.json,CLI smoke
Browser-Q35,Qwen3.5-4B,로컬 브라우저,browser-local-headless-chromium,31.04,,296.39,2740.9,1,incomplete,,benchmarks/results/qwen35-4b-browser-local.json,UI → localhost server
Browser-WebGPU-Q35,Qwen3.5-4B,브라우저 WebGPU 직접,browser-webgpu-direct,16.5103,,2853.7,,1,incomplete,,benchmarks/results/qwen35-4b-browser-webgpu.json,cold 16.51 tok/s; warm 21.35 tok/s; 브라우저 캐시·클라이언트 GPU 직접 생성
Browser-WebGPU-Q35-9B,Qwen3.5-9B,브라우저 WebGPU 직접,browser-webgpu-direct,,,,,0,incomplete,,benchmarks/results/qwen35-9b-browser-webgpu.json,"4.8GB/127개 파라미터 파일 다운로드 완료; WebGPU 커널 컴파일 중 renderer 응답 중단, 추론 미측정"
Browser-WebGPU-Qwen3,Qwen3-8B,브라우저 WebGPU 직접,browser-webgpu-direct,12.6498,,3000.3,,1,incomplete,,benchmarks/results/qwen3-8b-browser-webgpu.json,cold 12.65 tok/s; warm 14.56 tok/s; 브라우저 캐시·클라이언트 GPU 직접 생성
